[10:15:20][125568659388224][INFO][asynclogger:49]	DataManager construct start
[10:15:20][125568659388224][INFO][asynclogger:33]	ReadConfig start
[10:15:20][125568659388224][INFO][asynclogger:76]	FileSize: boost::filesystem::file_size: No such file or directory: "src/resource/Storage.conf"
[10:15:21][125568659388224][INFO][asynclogger:76]	FileSize: boost::filesystem::file_size: No such file or directory: "src/resource/Storage.conf"
[10:15:21][125568659388224][INFO][asynclogger:116]	GetPostLen: ifs
[10:15:21][125568659388224][INFO][asynclogger:282]	Unserialize: r->parse
[10:15:21][125568659388224][INFO][asynclogger:62]	init datamanager
[10:15:22][125568659388224][INFO][asynclogger:65]	there is no storage file info need to load
[10:15:23][125568659388224][INFO][asynclogger:53]	DataManager construct end
[10:15:46][125568480376576][INFO][asynclogger:193]	ListShow
[10:15:47][125568480376576][INFO][asynclogger:196]	ListShow:files.size:0
[10:15:47][125568480376576][INFO][asynclogger:225]	ListShow:success
[10:19:35][125568402061056][INFO][asynclogger:193]	ListShow
[10:19:36][125568402061056][INFO][asynclogger:196]	ListShow:files.size:0
[10:19:36][125568402061056][INFO][asynclogger:225]	ListShow:success
[10:19:48][125568402061056][INFO][asynclogger:193]	ListShow
[10:19:48][125568402061056][INFO][asynclogger:196]	ListShow:files.size:0
[10:19:49][125568402061056][INFO][asynclogger:225]	ListShow:success
[10:23:07][125568480376576][INFO][asynclogger:193]	ListShow
[10:23:08][125568480376576][INFO][asynclogger:196]	ListShow:files.size:0
[10:23:12][125568480376576][INFO][asynclogger:225]	ListShow:success
